Mixing_rate_rpm	Chitosan_TPP_Ratio_v_v	Chitosan_Concentration_mg_ml	TPP_Concentration_mg_ml	Particle_Diameter_nm
250	1.5	0.25	0.25	465.8776 
250	1.5	0.25	0.5	511.9864
250	1.5	0.25	1	514.005
250	1.5	0.25	1.25	455.9382
250	1.5	0.25	2	482.2905
250	1.5	0.25	2.5	541.4143
250	1.5	0.25	3	490.1887
250	1.5	0.25	3.5	531.4709
250	1.5	0.25	4	449.4858
250	1.5	0.25	5	454.6764
250	1.5	0.25	0.75	517.142
250	1.5	0.5	0.25	512.6078
250	1.5	0.5	0.5	427.3397
250	1.5	0.5	0.75	457.4509
250	1.5	0.5	1	482.9453
250	1.5	0.5	1.5	454.0678
250	1.5	0.5	2	493.0745
250	1.5	0.5	3.5	490.8668
250	1.5	0.5	4	508.1655
250	1.5	0.5	4.5	594.1737
250	1.5	0.75	0.25	492.485
250	1.5	0.75	0.5	641.0112
250	1.5	0.75	0.75	502.6796
250	1.5	0.75	1	495.5587
250	1.5	0.75	2	534.9981
250	1.5	0.75	2.5	470.2394
250	1.5	0.75	3	484.786
250	1.5	0.75	3.5	619.6193
250	1.5	0.75	4	442.1088
250	1.5	0.75	4.5	484.8413
250	1.5	0.75	5	487.395
250	1.5	1	0.25	500.3393
250	1.5	1	0.5	608.4317
250	1.5	1	0.75	468.3143
250	1.5	1	1.25	533.1934
250	1.5	1	1.5	487.5921
250	1.5	1	2.5	492.1481
250	1.5	1	3.5	478.5891
250	1.5	1	4	472.1529
250	1.5	1	5	510.1773
250	1	1.5	0.25	528.3867
250	2	1	1	526.5358
250	2	2.5	0.5	506.4315
500	2	0.25	0.25	647.7425
500	1.5	0.25	0.25	588.1474
500	1.5	0.25	0.5	594.8303
500	1.5	0.25	0.75	599.117
500	1.5	0.25	1	596.9388
500	1.5	0.25	1.25	607.9808
500	1.5	0.25	1.5	601.5576
500	1.5	0.25	2	579.4551
500	1.5	0.25	2.5	612.6943
500	1.5	0.25	3	588.7582
500	1.5	0.25	3.5	587.9739
500	1.5	0.25	4	579.253
500	1.5	0.25	4.5	582.1327
500	1.5	0.5	0.25	651.5528
500	1.5	0.5	0.5	607.5628
500	1.5	0.5	0.75	640.9233
500	1.5	0.5	1	623.1681
500	1.5	0.5	1.25	610.1126
500	1.5	0.5	2	607.1735
500	1.5	0.5	3	600.7028
500	1.5	0.5	3.5	603.4766
500	1.5	0.5	4	594.867
500	1.5	0.5	4.5	605.6449
500	1.5	0.5	5	572.2162
500	1.5	0.75	0.25	697.9443
500	1.5	0.75	0.5	591.3738
500	1.5	0.75	0.75	584.4912
500	1.5	0.75	1	583.0796
500	1.5	0.75	1.25	577.3817
500	1.5	0.75	2	583.7645
500	1.5	0.75	2.5	575.1604
500	1.5	0.75	3.5	553.2687
500	1.5	0.75	4	608.9508
500	1.5	0.75	4.5	581.471
500	1.5	0.75	5	552.7175
500	1.5	1	0.25	583.7738
500	1.5	1	0.5	715.1129
500	1.5	1	0.75	616.6498
500	1.5	1	1	612.7607
500	1.5	1	1.5	624.0728
500	1.5	1	2	784.917
500	1.5	1	2.5	615.7925
500	1.5	1	3	633.4636
500	1.5	1	3.5	604.5038
500	1.5	1	4	562.5384
500	1.5	1	4.5	641.1632
500	1.5	1	5	608.2476
500	1.5	1.25	0.25	527.7788
500	1.5	1.25	1.5	584.2413
500	1.5	1.5	0.25	590.2953
500	1.5	2	1.5	596.7241
500	1.5	2	4.5	564.1721
500	1.5	2	5	613.2318
500	1.5	2.5	0.25	698.7009
500	1.5	2.5	0.75	599.2316
500	1.5	2.5	4	585.5054
500	1.5	2.5	4.5	582.463
500	1.5	2.5	5	565.4632
500	1.5	3	0.75	606.5913
500	1.5	3	1	546.5014
500	1.5	3	3.5	571.6494
500	1.5	3.5	1	604.5086
500	1.5	3.5	3	611.0133
500	1.5	3.5	4	630.6159
500	1.5	3.5	5	751.7468
500	1.5	4	0.75	569.2601
500	1.5	4.5	1.5	600.2451
750	1	0.25	0.25	673.3683
750	1	0.25	0.5	691.6549
750	1	0.25	0.75	637.7152
750	1	0.25	1	660.9224
750	1	0.25	1.25	672.9142
750	1	0.25	1.5	646.6116
750	1	0.25	2	691.3456
750	1	0.25	2.5	672.8859
750	1	0.25	3	655.9974
750	1	0.25	3.5	675.6498
750	1	0.25	4	674.7711
750	1	0.25	4.5	653.2562
750	1	0.25	5	663.3117
750	1	0.5	0.25	633.5456
750	1	0.5	0.5	742.6152
750	1	0.5	0.75	647.1168
750	1	0.5	1	656.4604
750	1	0.5	1.25	654.5659
750	1	0.5	1.5	623.2229
750	1	0.5	2	689.0514
750	1	0.5	2.5	717.4743
750	1	0.5	3	660.2039
750	1	0.5	3.5	639.959
750	1	0.5	4	644.8603
750	1	0.5	4.5	649.2255
750	1	0.5	5	650.1691
750	1	0.75	0.25	632.8059
750	1	0.75	0.5	634.512
750	1	0.75	0.75	673.2337
