Mixing_rate_rpm,Chitosan_TPP_Ratio_v_v,Chitosan_Concentration_mg_ml,TPP_Concentration_mg_ml,Particle_Diameter_nm
250,1,0.25,0.25,452.478
250,1,0.25,0.5,461.2884
250,1,0.25,0.75,489.4832
250,1,0.25,1,468.3188
250,1,0.25,1.25,494.8308
250,1,0.25,1.5,453.3569
250,1,0.25,2,457.0593
250,1,0.25,2.5,449.8473
250,1,0.25,3,453.1743
250,1,0.25,3.5,468.257
250,1,0.25,4,468.1273
250,1,0.25,4.5,459.5141
250,1,0.25,5,493.1442
250,1,0.5,0.25,470.4768
250,1,0.5,0.5,469.2549
250,1,0.5,0.75,456.715
250,1,0.5,1,486.2563
250,1,0.5,1.25,466.7377
250,1,0.5,1.5,458.9104
250,1,0.5,2,453.2404
250,1,0.5,2.5,459.2384
250,1,0.5,3,462.7523
250,1,0.5,3.5,454.6717
250,1,0.5,4,446.7278
250,1,0.5,4.5,483.6938
250,1,0.5,5,456.58
250,1,0.75,0.25,443.7814
250,1,0.75,0.5,461.1516
250,1,0.75,0.75,459.1347
250,1,0.75,1,466.7492
250,1,0.75,1.25,499.8273
250,1,0.75,1.5,444.8529
250,1,0.75,2,503.3932
250,1,0.75,2.5,515.8766
250,1,0.75,3,451.5217
250,1,0.75,3.5,437.8163
250,1,0.75,4,461.3658
250,1,0.75,4.5,433.9157
250,1,0.75,5,490.7128
250,1,1,0.25,519.526
250,1,1,0.5,464.5703
250,1,1,0.75,469.8071
250,1,1,1,621.5821
250,1,1,1.25,462.4369
250,1,1,1.5,459.0939
250,1,1,2,511.2889
250,1,1,2.5,497.1192
250,1,1,3,495.9865
250,1,1,3.5,468.0898
250,1,1,4,451.8
250,1,1,4.5,471.2396
250,1,1,5,470.9449
250,1,1.25,0.25,488.0413
250,1,1.25,0.5,467.8408
250,1,1.25,0.75,512.1375
250,1,1.25,1,481.095
250,1,1.25,1.25,479.4767
250,1,1.25,1.5,483.7734
250,1,1.25,2,496.8173
250,1,1.25,2.5,463.7623
250,1,1.25,3,455.6595
250,1,1.25,3.5,472.7082
250,1,1.25,4,465.8645
250,1,1.25,4.5,469.0844
250,1,1.25,5,455.3415
250,1,1.5,0.25,0
250,1,1.5,0.5,459.6994
250,1,1.5,0.75,455.6716
250,1,1.5,1,481.8583
250,1,1.5,1.25,514.5841
250,1,1.5,1.5,486.4597
250,1,1.5,2,458.7443
250,1,1.5,2.5,473.0162
250,1,1.5,3,460.3645
250,1,1.5,3.5,481.9458
250,1,1.5,4,464.8285
250,1,1.5,4.5,471.6226
250,1,1.5,5,484.5448
250,1,2,0.25,448.7321
250,1,2,0.5,463.3237
250,1,2,0.75,542.267
250,1,2,1,506.1662
250,1,2,1.25,520.942
250,1,2,1.5,558.6803
250,1,2,2,502.7381
250,1,2,2.5,507.2696
250,1,2,3,534.0533
250,1,2,3.5,564.6151
250,1,2,4,484.6243
250,1,2,4.5,467.8026
250,1,2,5,501.8981
250,1,2.5,0.25,495.8298
250,1,2.5,0.5,527.3778
