Particle_Type_Code,Mixing_rate_rpm,Chitosan_TPP_Ratio_v_v,Chitosan_Concentration_mg_ml,TPP_Concentration_mg_ml,Particle_Diameter_nm
1,250,1.5,0.25,0.25,465.8776
1,250,1.5,0.25,0.5,511.9864
1,250,1.5,0.25,1,514.005
1,250,1.5,0.25,1.25,455.9382
1,250,1.5,0.25,2,482.2905
1,250,1.5,0.25,2.5,541.4143
1,250,1.5,0.25,3,490.1887
1,250,1.5,0.25,3.5,531.4709
1,250,1.5,0.25,4,449.4858
1,250,1.5,0.25,5,454.6764
1,250,1.5,0.25,0.75,517.142
1,250,1.5,0.5,0.25,512.6078
1,250,1.5,0.5,0.5,427.3397
1,250,1.5,0.5,0.75,457.4509
1,250,1.5,0.5,1,482.9453
1,250,1.5,0.5,1.5,454.0678
1,250,1.5,0.5,2,493.0745
1,250,1.5,0.5,3.5,490.8668
1,250,1.5,0.5,4,508.1655
1,250,1.5,0.5,4.5,594.1737
1,250,1.5,0.75,0.25,492.485
1,250,1.5,0.75,0.5,641.0112
1,250,1.5,0.75,0.75,502.6796
1,250,1.5,0.75,1,495.5587
1,250,1.5,0.75,2,534.9981
1,250,1.5,0.75,2.5,470.2394
1,250,1.5,0.75,3,484.786
1,250,1.5,0.75,3.5,619.6193
1,250,1.5,0.75,4,442.1088
1,250,1.5,0.75,4.5,484.8413
1,250,1.5,0.75,5,487.395
1,250,1.5,1,0.25,500.3393
1,250,1.5,1,0.5,608.4317
1,250,1.5,1,0.75,468.3143
1,250,1.5,1,1.25,533.1934
1,250,1.5,1,1.5,487.5921
1,250,1.5,1,2.5,492.1481
1,250,1.5,1,3.5,478.5891
1,250,1.5,1,4,472.1529
1,250,1.5,1,5,510.1773
1,250,1,1.5,0.25,528.3867
1,250,2,1,1,526.5358
1,250,2,2.5,0.5,506.4315
1,500,2,0.25,0.25,647.7425
1,500,1.5,0.25,0.25,588.1474
1,500,1.5,0.25,0.5,594.8303
1,500,1.5,0.25,0.75,599.117
1,500,1.5,0.25,1,596.9388
1,500,1.5,0.25,1.25,607.9808
1,500,1.5,0.25,1.5,601.5576
1,500,1.5,0.25,2,579.4551
1,500,1.5,0.25,2.5,612.6943
1,500,1.5,0.25,3,588.7582
1,500,1.5,0.25,3.5,587.9739
1,500,1.5,0.25,4,579.253
1,500,1.5,0.25,4.5,582.1327
1,500,1.5,0.5,0.25,651.5528
1,500,1.5,0.5,0.5,607.5628
1,500,1.5,0.5,0.75,640.9233
1,500,1.5,0.5,1,623.1681
1,500,1.5,0.5,1.25,610.1126
1,500,1.5,0.5,2,607.1735
1,500,1.5,0.5,3,600.7028
1,500,1.5,0.5,3.5,603.4766
1,500,1.5,0.5,4,594.867
1,500,1.5,0.5,4.5,605.6449
1,500,1.5,0.5,5,572.2162
1,500,1.5,0.75,0.25,697.9443
1,500,1.5,0.75,0.5,591.3738
1,500,1.5,0.75,0.75,584.4912
1,500,1.5,0.75,1,583.0796
1,500,1.5,0.75,1.25,577.3817
1,500,1.5,0.75,2,583.7645
1,500,1.5,0.75,2.5,575.1604
